learning_rate,start_alpha,step,alpha,loss,selected_terms
0.001,0.56,0,0.56,0.0013473049804323491,126
0.001,0.56,10,0.560901258606185,0.0013366652483624496,126
0.001,0.56,20,0.561808682684728,0.0013259884265422166,126
0.001,0.56,30,0.5627226335846173,0.0013152710881535986,126
0.001,0.56,40,0.5636433486385972,0.0013045113195136772,126
0.001,0.56,50,0.5645709580975244,0.0012937084994237452,126
0.001,0.56,60,0.5655055205378052,0.0012828628679936096,126
0.001,0.56,70,0.5664470535708181,0.0012719751579358142,126
0.001,0.56,80,0.5673955532951811,0.0012610463625560059,126
0.001,0.56,90,0.5683510046432523,0.001250077612837465,126
0.001,0.56,100,0.5693133863125631,0.0012390701188154858,126
0.001,0.56,110,0.5702826729457454,0.0012280251435085906,126
0.001,0.56,120,0.5712588360376162,0.001216943991698139,126
0.001,0.56,130,0.5722418442882403,0.001205828005310343,126
0.001,0.56,140,0.5732316637248975,0.0011946785613756274,126
0.001,0.56,150,0.5742282577308568,0.0011834970710805387,126
0.001,0.56,160,0.5752315870378748,0.0011722849792028492,126
0.001,0.92,0,0.9199999999999999,0.0009235441508831224,38
0.001,0.92,10,0.9189788684189173,0.0009102323925697375,38
0.001,0.92,20,0.9179524076236494,0.0008969591809251849,38
0.001,0.92,30,0.9169209986936766,0.0008837308413894397,38
0.001,0.92,40,0.9158849463804746,0.0008705525723341967,38
0.001,0.92,50,0.9148444804409297,0.0008574285012376851,38
0.001,0.92,60,0.9137997776538846,0.0008443619979826636,38
0.001,0.92,70,0.9127509845432877,0.0008313559831102241,38
0.001,0.92,80,0.9116982330761219,0.0008184131357242498,38
0.001,0.92,90,0.9106416495392186,0.000805536008671493,38
0.001,0.92,100,0.9095813589851305,0.0007927270847919097,38
0.001,0.92,110,0.9085174872802309,0.0007799888017648074,38
0.001,0.92,120,0.9074501619831457,0.0007673235618460487,38
0.001,0.92,130,0.9063795126881402,0.000754733734798531,38
0.001,0.92,140,0.9053056711335361,0.0007422216578958609,38
0.001,0.92,150,0.9042287712092837,0.0007297896347197052,38
0.001,0.92,160,0.9031489489214035,0.000717439933481589,38
0.005,0.56,0,0.56,0.0013473049804323491,126
0.005,0.56,10,0.5645650783454328,0.0012937768555007655,126
0.005,0.56,20,0.5692846317286309,0.0012393984124207693,126
0.005,0.56,30,0.5741669404048213,0.0011841837492336704,126
0.005,0.56,40,0.5792157140779953,0.0011282101160525245,126
0.005,0.56,50,0.5844303442940515,0.0010716108513613458,84
0.005,0.56,60,0.5898066827338817,0.0010145625303399249,84
0.005,0.56,70,0.5953377162975696,0.00095727372466809,84
0.005,0.56,80,0.6010139711241576,0.0008999770025017498,84
0.005,0.56,90,0.6068237133619196,0.0008429231266099614,84
0.005,0.56,100,0.6127530533145901,0.0007863761332153862,84
0.005,0.56,110,0.6187860298932971,0.0007306084501478355,84
0.005,0.56,120,0.6249047190492946,0.0006758956771646927,84
0.005,0.56,130,0.6310893879529141,0.0006225109516525011,84
0.005,0.56,140,0.6373187040431233,0.0005707189970162725,84
0.005,0.56,150,0.6435700005253294,0.0005207700509530848,84
0.005,0.56,160,0.6498195947362496,0.0004728939273922852,84
0.005,0.92,0,0.9199999999999999,0.0009235441508831224,38
0.005,0.92,10,0.9148384808370886,0.0008573531445210309,38
0.005,0.92,20,0.9095470053836028,0.0007923139701755207,38
0.005,0.92,30,0.9041430015385543,0.0007288044596156192,38
0.005,0.92,40,0.8986462922827565,0.0006671906860964358,38
0.005,0.92,50,0.8930779694675812,0.0006078078200706037,38
0.005,0.92,60,0.8874599548763005,0.0005509519088745615,38
0.005,0.92,70,0.8818148923235314,0.0004968767333638495,38
0.005,0.92,80,0.8761660627281913,0.0004457918051523441,38
0.005,0.92,90,0.8705371979872598,0.0003978603951106615,56
0.005,0.92,100,0.8649521860860845,0.00035319788459718855,56
0.005,0.92,110,0.8594347011873837,0.00031187101024583166,56
0.005,0.92,120,0.8540077975341411,0.00027389840952086087,56
0.005,0.92,130,0.8486935003028641,0.00023925262947976057,56
0.005,0.92,140,0.8435124195897561,0.0002078635539199925,56
0.005,0.92,150,0.8384834075990796,0.0001796230553829382,56
0.005,0.92,160,0.8336232737107281,0.00015439058375314057,56
0.02,0.56,0,0.56,0.0013473049804323491,126
0.02,0.56,10,0.5791454678766605,0.0011289810106457781,126
0.02,0.56,20,0.6007242234472334,0.0009028647279157703,84
0.02,0.56,30,0.6245850026598191,0.0006787080594638284,84
0.02,0.56,40,0.6500899268599742,0.00047086993706211156,84
0.02,0.56,50,0.6760450349042432,0.0002951554270146005,84
0.02,0.56,60,0.7008306717248752,0.0001632226430268714,84
0.02,0.56,70,0.7227607564060543,7.751572107202646e-05,56
0.02,0.56,80,0.7405545760843479,3.056565213341778e-05,56
0.02,0.56,90,0.7536809949828208,9.491800747563086e-06,56
0.02,0.56,100,0.76239532711377,2.076338048223875e-06,56
0.02,0.56,110,0.7675024707993924,2.2491788052994838e-07,56
0.02,0.56,120,0.7700254000778635,2.331287685422578e-11,56
0.02,0.56,130,0.7709341042450345,3.155361197859343e-08,56
0.02,0.56,140,0.770993132462209,3.5669280932897256e-08,56
0.02,0.56,150,0.7707166796147029,1.857072670550589e-08,56
0.02,0.56,160,0.7703946757148243,5.630432255813695e-09,56
0.02,0.92,0,0.9199999999999999,0.0009235441508831224,38
0.02,0.92,10,0.8985357120938069,0.0006659818192651764,38
0.02,0.92,20,0.8752880086585336,0.0004381205310880814,38
0.02,0.92,30,0.851363804741416,0.0002563492629294694,56
0.02,0.92,40,0.8284310694322322,0.0001296436792928233,56
0.02,0.92,50,0.8083075194989795,5.477486473194736e-05,56
0.02,0.92,60,0.7923590310133966,1.8409134728315987e-05,56
0.02,0.92,70,0.7810738331012319,4.472726625559285e-06,56
0.02,0.92,80,0.7740597638383315,5.975920042531375e-07,56
0.02,0.92,90,0.7703719780772061,5.001350732662264e-09,56
0.02,0.92,100,0.7689085216440429,4.300781270884392e-08,56
0.02,0.92,110,0.7686954193510724,6.143006936667373e-08,56
0.02,0.92,120,0.7690215496374502,3.4564959116779985e-08,56
0.02,0.92,130,0.7694558501698407,1.0694348892639214e-08,56
0.02,0.92,140,0.7697957322662057,1.5074442733515004e-09,56
0.02,0.92,150,0.7699895493752958,3.946364175854236e-12,56
0.02,0.92,160,0.7700631129821462,1.4393850225246371e-10,56
